recorte_analisis,fila,columna,x_centro_utm,y_centro_utm,xmin_utm,ymin_utm,xmax_utm,ymax_utm,area_total_ha,area_arbolada_ha,porcentaje_arbolado,conf010_detecciones_unicas,conf010_detecciones_altura_valida,conf010_detecciones_usadas_biomasa,conf010_altura_p95_media_m,conf010_diametro_copa_medio_m,conf010_biomasa_gimnosperma_t,conf010_biomasa_gimnosperma_t_ha_arbolada,conf015_detecciones_unicas,conf015_detecciones_altura_valida,conf015_detecciones_usadas_biomasa,conf015_altura_p95_media_m,conf015_diametro_copa_medio_m,conf015_biomasa_gimnosperma_t,conf015_biomasa_gimnosperma_t_ha_arbolada,conf020_detecciones_unicas,conf020_detecciones_altura_valida,conf020_detecciones_usadas_biomasa,conf020_altura_p95_media_m,conf020_diametro_copa_medio_m,conf020_biomasa_gimnosperma_t,conf020_biomasa_gimnosperma_t_ha_arbolada,conf025_detecciones_unicas,conf025_detecciones_altura_valida,conf025_detecciones_usadas_biomasa,conf025_altura_p95_media_m,conf025_diametro_copa_medio_m,conf025_biomasa_gimnosperma_t,conf025_biomasa_gimnosperma_t_ha_arbolada
PNOA_area_LiDAR_508000_4179000_512000_4183000_01_01,1,1,508228.0,4182877.0,508000.0,4182754.0,508456.0,4183000.0,11.2176,0.0,0.0,641,0,0,,,0.0,,538,0,0,,,0.0,,470,0,0,,,0.0,,412,0,0,,,0.0,
PNOA_area_LiDAR_508000_4179000_512000_4183000_01_02,1,2,508672.0,4182877.0,508456.0,4182754.0,508888.0,4183000.0,10.6272,0.0,0.0,325,0,0,,,0.0,,263,0,0,,,0.0,,225,0,0,,,0.0,,199,0,0,,,0.0,
PNOA_area_LiDAR_508000_4179000_512000_4183000_01_03,1,3,509104.0,4182877.0,508888.0,4182754.0,509320.0,4183000.0,10.6272,2.446,23.01641071966275,413,266,264,9.161118191883975,9.63910164679941,105.22833668471289,43.02057918426528,350,226,224,9.114971348669677,9.653903522115325,89.53293167256655,36.60381507463882,307,200,198,9.075031652450562,9.740800570074034,78.09360847172029,31.92706805875727,270,174,172,8.980291002098172,9.808603477532325,66.84802438313592,27.329527548297595
PNOA_area_LiDAR_508000_4179000_512000_4183000_01_04,1,4,509536.0,4182877.0,509320.0,4182754.0,509752.0,4183000.0,10.6272,4.5322,42.647169527250824,423,421,421,9.847370806895638,9.50045352331637,173.28755031451865,38.234753610722976,328,326,326,9.904837278500656,9.824781277173486,142.89095225768358,31.527944984264504,268,266,266,9.878655082301089,9.877235199123453,116.10693236725278,25.618227873274083,233,231,231,9.891917734435111,9.9239006766794,101.95623006709401,22.495968859956317
PNOA_area_LiDAR_508000_4179000_512000_4183000_01_05,1,5,509968.0,4182877.0,509752.0,4182754.0,510184.0,4183000.0,10.6272,5.4506,51.2891448358928,538,536,535,11.088071146118107,8.536130903024281,228.0011769697889,41.83047315337558,422,422,421,11.026637346823634,8.604145783818847,182.21234656371044,33.42977774258072,357,357,356,11.012979803299036,8.701545959460269,156.54218201969098,28.720174296351043,299,299,298,10.994217207599245,8.79625277123512,133.44254097362017,24.482174618137485
PNOA_area_LiDAR_508000_4179000_512000_4183000_01_06,1,6,510400.0,4182877.0,510184.0,4182754.0,510616.0,4183000.0,10.6272,5.0543,47.56003462812405,541,536,534,10.866324248598582,8.991605112191557,229.44711521922457,45.39641794496262,442,437,436,10.929327058028301,9.007398638411699,189.32963681029742,37.45912130469055,393,390,389,10.943620163966449,9.08032708796282,171.8985213983259,34.01035185848207,348,346,345,10.974889814509133,9.083118146948182,152.90284528544356,30.25203198968078
PNOA_area_LiDAR_508000_4179000_512000_4183000_01_07,1,7,510832.0,4182877.0,510616.0,4182754.0,511048.0,4183000.0,10.6272,2.1389,20.126656127672387,373,316,316,5.315265689469591,8.959813762556673,48.38794687467686,22.622818680011623,318,266,266,5.310173078587181,9.05129521276874,41.128033496228994,19.228591096465003,287,236,236,5.368071807643115,9.086996491263855,36.98228475073305,17.290329024607534,256,210,210,5.414402606373741,9.100287229152036,33.16679205099682,15.506471574639683
PNOA_area_LiDAR_508000_4179000_512000_4183000_01_08,1,8,511264.0,4182877.0,511048.0,4182754.0,511480.0,4183000.0,10.6272,0.4439,4.177017464619091,544,359,359,2.5655604783538988,6.48475772780335,10.281076313844293,23.160793678405707,519,342,342,2.5493865243175575,6.50195635362989,9.856983973058671,22.205415573459497,498,329,329,2.5553302975048773,6.52022141782871,9.676967247595309,21.799881161512296,484,317,317,2.5278214791595746,6.503814496976532,9.182349235259673,20.685625670780972
PNOA_area_LiDAR_508000_4179000_512000_4183000_01_09,1,9,511696.0,4182877.0,511480.0,4182754.0,511912.0,4183000.0,10.6272,0.3466,3.261442336645589,766,478,478,2.399682913864008,5.85686433477587,6.567967768625919,18.949705045083434,718,455,455,2.399346390923301,5.859346938714563,6.257052383397038,18.05266123311321,680,436,436,2.403844770488389,5.887666888089543,6.07660569499129,17.532041820517282,650,419,419,2.3945202696579453,5.909750183218123,5.854017007136878,16.88983556588828
PNOA_area_LiDAR_508000_4179000_512000_4183000_01_10,1,10,511956.0,4182877.0,511912.0,4182754.0,512000.0,4183000.0,2.1648,0.0879,4.060421286031042,317,165,165,2.419689161127264,5.466563627118432,1.937284055863725,22.039636585480373,310,159,159,2.415413178737808,5.447755593069811,1.8367264195316755,20.895636172146478,308,157,157,2.4201661690025573,5.4277859765676455,1.8105909361233115,20.598304165225386,305,156,156,2.413670229606139,5.436545960487908,1.7981476004922186,20.456741757590652
PNOA_area_LiDAR_508000_4179000_512000_4183000_02_01,2,1,508228.0,4182643.0,508000.0,4182532.0,508456.0,4182754.0,10.1232,0.0,0.0,472,0,0,,,0.0,,399,0,0,,,0.0,,351,0,0,,,0.0,,312,0,0,,,0.0,
PNOA_area_LiDAR_508000_4179000_512000_4183000_02_02,2,2,508672.0,4182643.0,508456.0,4182532.0,508888.0,4182754.0,9.5904,0.0,0.0,192,0,0,,,0.0,,158,0,0,,,0.0,,136,0,0,,,0.0,,116,0,0,,,0.0,
PNOA_area_LiDAR_508000_4179000_512000_4183000_02_03,2,3,509104.0,4182643.0,508888.0,4182532.0,509320.0,4182754.0,9.5904,2.8482,29.698448448448445,407,258,258,12.407139312389285,9.478172953241472,153.09114877331845,53.75014000888928,339,214,214,12.386186922822043,9.552884056291731,127.53459305115057,44.77726039293258,291,185,185,12.356429386138917,9.605999676791324,111.54717745501938,39.164095728888206,254,157,157,12.368301522200275,9.650750902781732,95.14789965456185,33.40632668161009
